"委員会","","ふりがな"
"予算特別委員会区民生活分科会","05_その他","よさんとくべついいんかいくみんせいかつぶんかかい"
"都市環境委員会","03_常任","としかんきょういいんかい"
"区民生活委員会","03_常任","くみんせいかついいんかい"
"議会改革特別委員会","04_特別","ぎかいかいかくとくべついいんかい"
"文化芸術・スポーツに関する特別委員会","04_特別","ぶんかげいじゅつ・すぽーつにかんするとくべついいんかい"
"保健福祉委員会","03_常任","ほけんふくしいいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"道路交通対策特別委員会","04_特別","どうろこうつうたいさくとくべついいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"地方自治・分権調査特別委員会","04_特別","ちほうじち・ぶんけんちょうさとくべついいんかい"
"災害対策・防犯等特別委員会","04_特別","さいがいたいさく・ぼうはんなどとくべついいんかい"
"予算特別委員会総務財政分科会","05_その他","よさんとくべついいんかいそうむざいせいぶんかかい"
"定例会","05_その他","ていれいかい"
"清掃・リサイクル対策特別委員会","04_特別","せいそう・りさいくるたいさくとくべついいんかい"
"総務財政委員会","03_常任","そうむざいせいいいんかい"
"清掃・エネルギー対策特別委員会","04_特別","せいそう・えねるぎーたいさくとくべついいんかい"
"予算特別委員会文教分科会","05_その他","よさんとくべついいんかいぶんきょうぶんかかい"
"予算特別委員会都市環境分科会","05_その他","よさんとくべついいんかいとしかんきょうぶんかかい"
"医療問題調査特別委員会","04_特別","いりょうもんだいちょうさとくべついいんかい"
"文教委員会","03_常任","ぶんきょういいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"自治基本条例及び区民等の意見提出手続条例に関する特別委員会","04_特別","じちきほんじょうれいおよびくみんなどのいけんていしゅつてつづきじょうれいにかんするとくべついいんかい"
"総務財政委員会・区民生活委員会連合審査会","05_その他","そうむざいせいいいんかい・くみんせいかついいんかいれんごうしんさかい"
"災害対策特別委員会","04_特別","さいがいたいさくとくべついいんかい"
"臨時会","05_その他","りんじかい"
"基本構想に関する特別委員会","04_特別","きほんこうそうにかんするとくべついいんかい"
"予算特別委員会保健福祉分科会","05_その他","よさんとくべついいんかいほけんふくしぶんかかい"
